street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
167 Bainbridge St,399900,3,1,"1,339",$299 / Sq. Ft.,Single Family Detached,Middlesex,Forestdale,1930,,,True,,,,
65 Central Ave,649900,5,2.5,"1,700",$382 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1900,,True,True,,,,
11 Gilbert Ct,329900,2,1,693,$476 / Sq. Ft.,Single Family Detached,Middlesex,Forestdale,1930,True,,True,,,,
516 Salem St,299900,3,3,"1,595",$188 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1840,,,True,,,,
24 Havelock St,594999,4,2.5,"2,409",$247 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1925,True,,True,,,,
14 Sawyer Ct,479895,4,2,"1,416",$339 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1900,,,True,,,,
178 Central Ave,480000,3,2.5,"2,000",$240 / Sq. Ft.,Single Family Attached,Middlesex,Linden,2004,True,,True,,,,
12 Centennial Cir,449900,3,3,"1,846",$244 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1991,,,,,,,
69 Bell Rock #4,125000,1,1,270,$463 / Sq. Ft.,Condominium,Middlesex,Malden,1955,,,,,,,
76 Tea Party Way,675000,5,3.5,"3,081",$219 / Sq. Ft.,Single Family Detached,Middlesex,Exclusive Sub Division of Newer Homes,2004,,,True,,True,,
787 Main St #787,239999,1,1,613,$392 / Sq. Ft.,Condominium,Middlesex,Malden,1900,,,,,,,
Greenwood & 0 Glendale,189900,—,—,—,Sq. Ft.,Residential,Middlesex,Linden,,,,,,,,
15-17 Jordan Ter,549900,6,2,"2,480",$222 / Sq. Ft.,2 Family,Middlesex,Faulkner,1900,True,,True,,,True,
47-49 Rockwell St,698999,5,2,"2,570",$272 / Sq. Ft.,2 Units Up/Down,Middlesex,Malden,1940,True,,,,,,
64 Lanark Rd,454900,3,1.5,"1,187",$383 / Sq. Ft.,Single Family Attached,Middlesex,Malden,1950,,,,,,,
16 Lodgen Ct,529000,4,2.5,"2,367",$223 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1992,True,,,,,,
176 Essex St,519900,3,3,"2,530",$205 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1965,,,True,,True,,
31 Pierce St,698500,6,3,"2,386",$293 / Sq. Ft.,2 Family,Middlesex,Malden,1890,True,,True,,,,
12 Auburn Ct,399000,3,1,"1,212",$329 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1900,True,,,,,,
695 Highland Ave,89000,—,—,—,Sq. Ft.,Residential,Middlesex,Malden,,,,,,,,
9 IRVING St,479900,6,2,"2,194",$219 / Sq. Ft.,2 Units Up/Down,Middlesex,Everett,1900,True,,,,,True,
20 Clarence St,674900,6,3,"3,603",$187 / Sq. Ft.,3 Units Up/Down,Middlesex,Glendale,1923,True,,,,,,
11 Heath St,439000,3,2,"1,570",$280 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1900,True,,True,,,,
20 Fairlawn St,529900,6,2,"2,105",$252 / Sq. Ft.,2 Family,Middlesex,Everett,1904,True,,,,,,
120 Wyllis #219,373660,2,2,"1,099",$340 / Sq. Ft.,Condominium,Middlesex,Everett,2007,True,,True,,,,
106-108 WILBUR St,599000,8,3,"2,646",$226 / Sq. Ft.,2 Units Up/Down,Middlesex,Everett,1900,True,,True,,,,
107 Central Ave,419900,4,2,"1,519",$276 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1950,,,True,,,,
55 Baldwin Ave #2,289877,3,1,"1,268",$229 / Sq. Ft.,Condominium,Middlesex,Everett,1900,,,True,,,,
117 Ferry St,499974,4,2,"2,392",$209 / Sq. Ft.,2 Family,Middlesex,Everett,1927,True,,,,,True,
859 Broadway #13,199900,1,1,585,$342 / Sq. Ft.,Condominium,Middlesex,Everett,1965,,,,,,,
72 Sammet St,429900,4,1,"1,571",$274 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1920,,,True,,,,
92 Tileston St #1,239000,2,1,"1,044",$229 / Sq. Ft.,Condominium,Middlesex,Everett,1900,,,,,,True,
24 Cottage St,534900,6,2,"3,181",$168 / Sq. Ft.,2 Family,Middlesex,Everett,1920,True,,True,,True,,
338 Main St,625000,7,2,"2,802",$223 / Sq. Ft.,2 Family,Middlesex,Everett,1920,,,True,,,True,
559 Broadway #1,189900,1,1,700,$271 / Sq. Ft.,Condominium,Middlesex,Glendale,1925,True,,True,,True,,
170 Bell Rock St,355000,3,2,"1,128",$315 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1915,,,True,,,,
12 Locust St Unit 3A,329900,3,2,"1,429",$231 / Sq. Ft.,Condominium,Middlesex,Everett,1920,True,,True,,True,,
120 Wyllis #421,511550,2,2.5,"1,574",$325 / Sq. Ft.,Condominium,Middlesex,Everett,2007,True,,True,,,,
26 Ellsworth St,375000,3,1,"1,037",$362 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1930,,,True,,,,
124 - 126 Union St,599900,6,3,"2,973",$202 / Sq. Ft.,3 Family,Middlesex,Everett,1900,True,,,,,,
54 tileston St,949900,15,6,"5,376",$177 / Sq. Ft.,3 Units Up/Down,Middlesex,Everett,1900,,,True,,,,
65 Tileston St,349000,3,2,"1,327",$263 / Sq. Ft.,Single Family Detached,Middlesex,West Everett,1900,,,,,,,
33 Jefferson Ave,499000,4,3,"1,827",$273 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1946,,,True,,,,
120 Wyllis #408,519675,2,2.5,"1,599",$325 / Sq. Ft.,Condominium,Middlesex,Everett,2007,True,,True,,,,
140 Bell Rock St,309900,3,1,992,$312 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1891,True,,,,,,
439 Ferry St Unit B,199000,3,1,860,$231 / Sq. Ft.,Condominium,Middlesex,Everett,1900,,,True,,,,
9 Ashton St,550000,5,2,"2,875",$191 / Sq. Ft.,2 Family,Middlesex,Everett,1920,,,True,,,,
21 Hillside Ave #21,285000,2,2,"1,123",$254 / Sq. Ft.,Condominium,Middlesex,Everett,1987,,,,,,,
134 Vine St,490000,6,3,"3,011",$163 / Sq. Ft.,3 Family,Middlesex,Everett,1900,,,,,,,
86 Nichols St,699900,6,3.5,"3,444",$203 / Sq. Ft.,2 Family,Middlesex,Everett,1900,,,,,,,
73 Elsie St,799000,5,3,"3,480",$230 / Sq. Ft.,Single Family Detached,Middlesex,Everett,1954,,,True,,,,
250 Congress Ave #43,274000,2,2,"1,078",$254 / Sq. Ft.,Condominium,Suffolk,Chelsea,1987,True,,True,,,,
10-12 Fitz Ter,725000,13,3,"4,653",$156 / Sq. Ft.,3 Family,Suffolk,Chelsea,1900,True,,,,True,,
60 Dudley #118,365000,1,1,"1,015",$360 / Sq. Ft.,Condominium,Suffolk,Chelsea,1900,True,,True,,True,,
71 Chester Ave,489900,12,3,"3,861",$127 / Sq. Ft.,3 Family,Suffolk,Chelsea,1900,,,,,,True,
645 Broadway,459000,4,2,"1,800",$255 / Sq. Ft.,2 Family,Suffolk,Chelsea,1920,,,True,,,,
67 Broadway #3,225000,1,1,449,$501 / Sq. Ft.,Condominium,Suffolk,Chelsea,1857,,,,,,,
57 Broadway,500000,3,3.5,"1,938",$258 / Sq. Ft.,3 Family,Suffolk,Chelsea,1857,,,,,,,
441 Washington Ave #301,315000,1,1,877,$359 / Sq. Ft.,Condominium,Suffolk,Prattville,1897,True,,,,True,True,
70 Warren Ave Unit 3-6,207000,1,1,710,$292 / Sq. Ft.,Condominium,Suffolk,Chelsea,1970,,,True,,,,
70 Bellingham St (13 units),2300000,27,13,"10,500",$219 / Sq. Ft.,5+ Units Side-by-Side,Suffolk,Bellingham Square,1920,,,,,,,
175 Cottage St #707,236000,1,1,786,$300 / Sq. Ft.,Condominium,Suffolk,Chelsea,2005,True,,True,,,,
60 Dudley St #315,400000,1,1,957,$418 / Sq. Ft.,Condominium,Suffolk,Chelsea,2004,True,,,,True,,
60 Dudley St #122,389000,1,1,976,$399 / Sq. Ft.,Condominium,Suffolk,Chelsea,2004,True,,,,,,
68 Clark Ave,749900,9,3,"5,151",$146 / Sq. Ft.,3 Family,Suffolk,Chelsea,1900,,,,,,,
70 Clark Ave,749900,9,3,"5,151",$146 / Sq. Ft.,3 Family,Suffolk,Chelsea,1900,,,,,,,
155 Franklin Ave #1,525000,3,2,"1,560",$337 / Sq. Ft.,Condominium,Suffolk,Chelsea,1900,True,True,,,True,,
4 Eden St #4,299000,2,1.5,"1,078",$277 / Sq. Ft.,Condominium,Suffolk,Chelsea,1987,True,,,,,,
280 Chestnut St,649000,8,3,"2,811",$231 / Sq. Ft.,3 Family,Suffolk,Chelsea,1920,True,,,,,,
237 Webster Ave,650000,5,3,"1,900",$342 / Sq. Ft.,2 Units Up/Down,Suffolk,Chelsea,1893,True,,True,,,,
204 Spencer #4,425000,2,2,"1,145",$371 / Sq. Ft.,Condominium,Suffolk,Chelsea,1885,True,,True,True,True,,
14 Hooper St,690000,8,4,"4,288",$161 / Sq. Ft.,4 Units Up/Down,Suffolk,Chelsea,1926,,,,,,,
204 Spencer #1,300000,1,1,720,$417 / Sq. Ft.,Condominium,Suffolk,Chelsea,1885,True,,,,True,,
105 Garfield Ave,449900,4,2.5,"1,739",$259 / Sq. Ft.,Single Family Detached,Suffolk,Chelsea,1930,True,,,,,,
39 Crescent Ave #12,199900,2,1,689,$290 / Sq. Ft.,Condominium,Suffolk,Chelsea,1965,True,,,,True,,
107 Congress Ave,749999,9,3,"3,879",$193 / Sq. Ft.,3 Family,Suffolk,Chelsea,1920,,,,,,,
9 John St,789000,6,3,"3,600",$219 / Sq. Ft.,2 Units Up/Down,Suffolk,Chelsea,1893,,,,,,,
73 Washington Ave,647000,9,2,"3,060",$211 / Sq. Ft.,2 Units Up/Down,Suffolk,Chelsea,1880,,,,,,,
373-375 Crescent Ave,2250000,16,8,—,Sq. Ft.,2 Units Up/Down,Suffolk,Chelsea,2016,True,,True,,True,,
75 E MOUNTAIN Ave,439900,3,2,"1,986",$222 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1947,,,True,,,True,
131 Bellingham Ave #2,299000,3,1,"1,193",$251 / Sq. Ft.,Condominium,Suffolk,Beachmont,1900,,,True,,True,,
9-11 WAVE Ave,439900,4,2,"2,024",$217 / Sq. Ft.,2 Units Side-by-Side,Suffolk,Revere,1948,,,,,,True,
510 Beach St,475000,2,2,"1,794",$265 / Sq. Ft.,2 Units Up/Down,Suffolk,Revere,1900,True,,,,,,
76 Savage St,449999,3,2,"2,467",$182 / Sq. Ft.,Single Family Detached,Suffolk,WEST REVERE,1963,True,,True,,True,True,
109 Florence Ave,499900,5,3,"2,428",$206 / Sq. Ft.,3 Family,Suffolk,Revere,1900,,,,,,,
35 Orchard St,345900,3,2,"1,978",$175 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1900,,,True,,,,
11 Cleveland St,449916,3,2,"1,584",$284 / Sq. Ft.,2 Family,Suffolk,Revere,1920,,,,,,,
300 Prospect Ave,699900,6,3,"4,176",$168 / Sq. Ft.,2 Family,Suffolk,Revere,1964,,,True,,True,,
25 Bateman,350000,3,2,"1,449",$242 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1939,,,,,,,
108 Mill St,380000,3,1,"1,360",$279 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,,,,,,True,
42 Carlson Ave,575000,5,2.5,"2,490",$231 / Sq. Ft.,2 Family,Suffolk,Revere,1950,True,,True,,,,
47 Sears St,429000,3,1.5,"1,360",$315 / Sq. Ft.,Single Family Detached,Suffolk,Revere,2003,,,True,,True,,
26 28 Burnham,174900,—,—,—,Sq. Ft.,Residential,Suffolk,Revere,,,,,,,,
109 Stevens St,465000,3,2,"2,462",$189 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,,,True,,,,
383 Revere Beach Blvd #1,109900,1,1,335,$328 / Sq. Ft.,Condominium,Suffolk,Revere,1970,,,,,,,
33 Avalon St,320000,2,2.5,"1,244",$257 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,,,,,,,
65 Mckinley St,699900,7,4.5,"4,820",$145 / Sq. Ft.,3 Family,Suffolk,Revere,1958,True,,True,,True,,
73 Thurlow Ave,525000,4,2,"2,652",$198 / Sq. Ft.,2 Family,Suffolk,Revere,1940,,,,,,,
37 Cleveland St,649900,8,4,"3,606",$180 / Sq. Ft.,2 Units Side-by-Side,Suffolk,Revere,1920,True,,True,,,True,
21 Alden Ave,409900,4,2,"1,948",$210 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1930,True,,True,,,,
77 Bennington St #506,214900,2,1,835,$257 / Sq. Ft.,Condominium,Suffolk,Beachmont,1988,True,,True,,True,,True
72 Thornton St,1450000,16,6,"6,237",$232 / Sq. Ft.,5-9 Family,Suffolk,Revere Beach,1920,,,,,True,,
21 Rose St,570000,4,3,"2,883",$198 / Sq. Ft.,3 Family,Suffolk,Revere,1920,,,,,,,
134 Morris St,690100,4,2.5,"3,052",$226 / Sq. Ft.,Single Family Detached,Suffolk,Revere,2012,,,True,,,,
382 Ocean Ave #906,249999,1,1,704,$355 / Sq. Ft.,Condominium,Suffolk,Revere,1987,,,True,,,,
1000 Winthrop Ave #1,329000,5,2,"1,340",$246 / Sq. Ft.,Condominium,Suffolk,Beachmont,1900,,,True,,,,
8 Putnam Rd,142900,1,1,602,$237 / Sq. Ft.,Single Family Detached,Suffolk,Oak Island,1939,,,,,,,
474 Revere Beach Blvd #702,344999,2,1,"1,000",$345 / Sq. Ft.,Condominium,Suffolk,Revere Beach,1986,True,,,,True,True,
89 Arcadia St,319916,2,1,"1,000",$320 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1910,True,,True,,,,
425 Washington Ave Unit A,414900,3,2.5,"2,000",$207 / Sq. Ft.,Condominium,Suffolk,Revere,2003,True,,True,,True,,
425 Revere Beach Pkwy,129000,—,—,—,Sq. Ft.,Residential,Suffolk,Revere,,,,,,,,
36 SEARS St,1500000,9,4.5,"5,369",$279 / Sq. Ft.,4 Units Side-by-Side,Suffolk,Revere,1985,,,True,True,,True,
72 Campbell Ave,2375000,17,10,"8,000",$297 / Sq. Ft.,5-9 Family,Suffolk,Revere,1900,,,,,,,
1698 N Shore Rd,379000,3,1,"1,083",$350 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,True,,True,,True,True,
107 oak Is,389000,4,2,"1,856",$210 / Sq. Ft.,2 Family,Suffolk,Revere,1939,,,,,,True,
262 Endicott Ave,1200000,8,4,"4,180",$287 / Sq. Ft.,4 Family,Suffolk,Beachmont,1981,True,,,,,,
45 Francis St,554000,5,3.5,"4,450",$124 / Sq. Ft.,2 Family,Suffolk,Revere,1950,True,,True,,True,True,
350 Revere Beach Blvd Unit 11D,439900,2,2,"1,156",$381 / Sq. Ft.,Condominium,Suffolk,Revere Beach,1988,True,,True,,,,
58 Orvis Rd,795000,8,3,"5,940",$134 / Sq. Ft.,3 Units Up/Down,Suffolk,Revere,1900,True,,True,,,,
473 Revere Beach Pkwy,3200000,16,8,"10,496",$305 / Sq. Ft.,5-9 Family,Suffolk,Beachmont,2015,True,,,,,True,True
39 Dashwood St,190000,4,1.5,"1,716",$111 / Sq. Ft.,Single Family Detached,Suffolk,Revere Beach,1939,,,,,,,
5 Tracyalan Way,501000,4,2,"2,400",$209 / Sq. Ft.,2 Family,Suffolk,Revere,1995,,,,,,,
528 Revere St,519000,6,3,"3,309",$157 / Sq. Ft.,2 Family,Suffolk,Revere,1900,True,,,,,,
12A Argyle St,249900,2,1.5,"1,088",$230 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,,,,,,,
40 Washington Ave,440000,3,1.5,"1,364",$323 / Sq. Ft.,Single Family Detached,Suffolk,Revere,1920,,,,,,,
7 Carmen Ln,1050000,8,6,"3,940",$266 / Sq. Ft.,5+ Units Up/Down,Suffolk,Revere,1960,True,,,,True,True,
102 Summer St,750000,2,2,"5,625",$133 / Sq. Ft.,2 Units Side-by-Side,Suffolk,Revere,1930,,,,,,,
Lot 8A Suffolk Ave,300000,—,—,—,Sq. Ft.,Residential,Suffolk,Revere,,,,,,,,
Lot 9A Suffolk Ave,300000,—,—,—,Sq. Ft.,Residential,Suffolk,Revere,,,,,,,,
525 Pleasant St,619000,6,4.5,"2,882",$215 / Sq. Ft.,2 Family,Suffolk,Cottage Park,1910,,,True,,,True,
70 Brookfield Rd,549900,3,1,"1,544",$356 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1929,,,True,,,,
10 Willis Ave,550000,5,2,"2,896",$190 / Sq. Ft.,2 Family,Suffolk,Winthrop,1959,True,,,,,True,
29 Billows,349000,3,1.5,"1,368",$255 / Sq. Ft.,Single Family Detached,Suffolk,Point Shirley,1900,,,True,,,,
63 Bowdoin St,399999,3,2,"1,415",$283 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1850,True,,True,,,True,
27 Court Rd,499000,2,1.5,"1,668",$299 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1930,,,,,,,
200 Governor's Dr #29,196000,2,1,782,$251 / Sq. Ft.,Condominium,Suffolk,Winthrop,1971,,,,,True,,
178 Court Rd,579000,4,2,"1,997",$290 / Sq. Ft.,Single Family Detached,Suffolk,Court Road / Cottage Park / Johnson Avenue,1920,,,True,,,,
148 READ St,329900,3,1.5,"1,547",$213 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1946,,,,,,True,
37 TEWKSBURY St,399900,4,2,"2,169",$184 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1900,True,,True,,,,
93 Bay View Ave,249900,2,1.5,"1,470",$170 / Sq. Ft.,Single Family Detached,Suffolk,Point Shirley,1900,,,,,,,
3 Seal Harbor Rd #844,549000,2,2,"1,302",$422 / Sq. Ft.,Condominium,-,Winthrop Highlands,1987,True,,True,,True,True,True
1 Seal Harbor Rd #416,549900,2,2,"1,417",$388 / Sq. Ft.,Condominium,-,Winthrop Highlands,1983,True,,True,,,True,True
550 Pleasant St #310,449000,2,2,"1,471",$305 / Sq. Ft.,Condominium,Suffolk,Winthrop,2006,True,,True,,,True,
223 /185 Main/Herman,495000,2,1.5,"2,395",$207 / Sq. Ft.,2 Units Up/Down,Suffolk,Winthrop,1956,,,,,,,
49 SEAFOAM Ave,748000,6,4,"3,880",$193 / Sq. Ft.,2 Family,Suffolk,Winthrop,1900,True,,,,True,,
203 Winthrop Shore Dr #4,225000,1,1,725,$310 / Sq. Ft.,Condominium,Suffolk,Winthrop Beach,1900,True,,True,,True,True,
14 Coral Avenue,519900,4,2,"1,784",$291 / Sq. Ft.,2 Family,Suffolk,Winthrop,1900,True,,True,,,,
103 Summit Ave #1,209000,1,1,806,$259 / Sq. Ft.,Condominium,Suffolk,Winthrop Beach,1910,,,,,,,
550 Pleasant St #504,489900,2,2,"1,657",$296 / Sq. Ft.,Condominium,Suffolk,Winthrop,2006,True,,True,,,True,
156 Locust St,569900,4,3,"2,700",$211 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1870,,,,,,True,
92 Undine Ave,315000,3,1.5,"1,624",$194 / Sq. Ft.,Single Family Detached,Suffolk,Point Shirley,1900,True,,True,,,,
550 Pleasant St #501,495000,2,2,"1,192",$415 / Sq. Ft.,Condominium,Suffolk,Winthrop,2006,True,,True,,True,True,
3 Seal Harbor Rd #241,314000,1,1,871,$361 / Sq. Ft.,Condominium,-,Winthrop Highlands,1987,True,,,True,,,
111 Court Rd,995000,3,4,"2,606",$382 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1900,,,True,,,,
251 Court Rd,975000,3,1.5,"1,941",$502 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1930,,,True,,,,
89 Cliff Ave,559900,4,2.5,"2,028",$276 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1900,,,True,,,,
267 Washington Ave #2,189900,1,1,800,$237 / Sq. Ft.,Condominium,Suffolk,Winthrop,1900,,,True,,True,,
917 Shirley St,574999,2,2,"1,250",$460 / Sq. Ft.,2 Family,Suffolk,Winthrop,1954,,,True,,,,
550 Pleasant St #211,439900,2,2,"1,183",$372 / Sq. Ft.,Condominium,Suffolk,Winthrop,2006,True,,True,,,,
25 Locust St,480000,5,2.5,"2,790",$172 / Sq. Ft.,Single Family Detached,Suffolk,Winthrop,1920,,,True,,True,True,
48 Winthrop Shore Dr,1750000,9,9,"5,714",$306 / Sq. Ft.,4 Family (Rooming House),Suffolk,Winthrop,1880,,,,,,,
224 Salem St #7,324900,2,1,759,$428 / Sq. Ft.,Condominium,Middlesex,Medford,1900,True,,True,,True,,
29-31 Watts St,629900,5,2,"2,021",$312 / Sq. Ft.,2 Units Up/Down,Middlesex,Edgeworth,1880,True,,True,,,True,
6 Thatcher St #6,298900,2,1,"1,138",$263 / Sq. Ft.,Condominium,Middlesex,Medford,1890,,,True,,,,
14 Holton St #5,379900,3,1,"1,040",$365 / Sq. Ft.,Condominium,Middlesex,West Medford,1910,,,,,,,
173 Brooks St,575000,3,2.5,"1,925",$299 / Sq. Ft.,Single Family Detached,Middlesex,West Medford,1950,True,,True,,True,,
500 Salem St #707,399900,2,2,"1,086",$368 / Sq. Ft.,Condominium,Middlesex,Medford,1988,True,,True,,,,
15 Arizona Ter #2,199900,1,1,463,$432 / Sq. Ft.,Condominium,Middlesex,Arlington,1965,True,,True,,True,True,
73 Brookings St,649900,3,2,"2,600",$250 / Sq. Ft.,Single Family Detached,Middlesex,Tufts/Hillside,1920,True,,True,,,,
42 Fells Ave,439900,3,2,"1,030",$427 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1958,,,True,,,,
17 Arizona Ter #10,224900,1,1,578,$389 / Sq. Ft.,Condominium,Middlesex,Arlington,1965,,,True,,,,
255 Playstead Rd,799900,4,2.5,"1,988",$402 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1997,,,True,,True,,
255 Powder House Blvd,749000,3,2,"1,728",$433 / Sq. Ft.,Single Family Detached,Middlesex,Somerville,1910,True,,,,,,
24 Fellsview Ave,599000,3,1.5,"1,570",$382 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1930,,,True,,,,
74 Clematis Rd,599000,3,2,"1,815",$330 / Sq. Ft.,Single Family Attached,Middlesex,North Medford,1949,,,True,,,,
131 Sunnyside Ave,415000,2,1,792,$524 / Sq. Ft.,Single Family Attached,Middlesex,Arlington,1948,,,True,,,,
26 Powder House Ter,699000,4,2,"2,425",$288 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1950,,,,,,,
36 Ware St,975000,5,2,"2,666",$366 / Sq. Ft.,2 Family,Middlesex,Somerville,1910,,,,,,True,
1 Irving St,1595000,6,6,"3,850",$414 / Sq. Ft.,5+ Units Up/Down,Middlesex,West Medford,,,,,,,,
50 Pleasant St,1000000,3,1.5,"1,965",$509 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1850,,,,,,,
2 Franklin St,649900,4,2,"2,640",$246 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1900,,,True,,,,
193 Playstead Rd,599000,3,1.5,"1,820",$329 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1929,,,True,,,,
28 Park Ave,799000,3,2.5,"2,060",$388 / Sq. Ft.,Single Family Detached,Middlesex,Upper Highland,2017,,,True,,,,
7 Wyman St,849500,5,2,"3,360",$253 / Sq. Ft.,2 Family,Middlesex,Medford,1890,True,,True,,,,
325 Alewife Brook Pkwy,3000000,—,—,—,Sq. Ft.,Residential,Middlesex,Somerville,,,,,,,,
68 Hooker Ave,759900,3,2.5,"1,516",$501 / Sq. Ft.,Single Family Detached,Middlesex,Somerville,1993,,,True,,True,,
42 Linden,1,—,—,—,Sq. Ft.,Commercial,Middlesex,Medford,,,,,,,,
68 Hooker Ave #0,759900,3,2.5,"1,516",$501 / Sq. Ft.,Condominium,Middlesex,Somerville,1993,,,True,,True,,
12 Auburn Ct,399000,3,1,"1,212",$329 / Sq. Ft.,Single Family Detached,Middlesex,Malden,1900,True,,,,,,
695 Highland Ave,89000,—,—,—,Sq. Ft.,Residential,Middlesex,Malden,,,,,,,,
10 Pond Cir,469000,2,1,"1,200",$391 / Sq. Ft.,Single Family,Middlesex,Medford,1964,,,,,,,
97 WINCHESTER St,509900,3,1,"1,556",$328 / Sq. Ft.,Single Family Detached,Middlesex,Tufts University,1921,True,,True,,True,,
224 Salem St #7,324900,2,1,759,$428 / Sq. Ft.,Condominium,Middlesex,Medford,1900,True,,True,,True,,
6 Thatcher St #6,298900,2,1,"1,138",$263 / Sq. Ft.,Condominium,Middlesex,Medford,1890,,,True,,,,
14 Holton St #5,379900,3,1,"1,040",$365 / Sq. Ft.,Condominium,Middlesex,West Medford,1910,,,,,,,
173 Brooks St,575000,3,2.5,"1,925",$299 / Sq. Ft.,Single Family Detached,Middlesex,West Medford,1950,True,,True,,True,,
500 Salem St #707,399900,2,2,"1,086",$368 / Sq. Ft.,Condominium,Middlesex,Medford,1988,True,,True,,,,
73 Brookings St,649900,3,2,"2,600",$250 / Sq. Ft.,Single Family Detached,Middlesex,Tufts/Hillside,1920,True,,True,,,,
42 Fells Ave,439900,3,2,"1,030",$427 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1958,,,True,,,,
46 Grove St,699000,4,2.5,"2,297",$304 / Sq. Ft.,Single Family Detached,Middlesex,West Medford,1910,,,True,,,,
255 Playstead Rd,799900,4,2.5,"1,988",$402 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1997,,,True,,True,,
24 Fellsview Ave,599000,3,1.5,"1,570",$382 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1930,,,True,,,,
74 Clematis Rd,599000,3,2,"1,815",$330 / Sq. Ft.,Single Family Attached,Middlesex,North Medford,1949,,,True,,,,
26 Powder House Ter,699000,4,2,"2,425",$288 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1950,,,,,,,
1 Irving St,1595000,6,6,"3,850",$414 / Sq. Ft.,5+ Units Up/Down,Middlesex,West Medford,,,,,,,,
50 Pleasant St,1000000,3,1.5,"1,965",$509 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1850,,,,,,,
2 Franklin St,649900,4,2,"2,640",$246 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1900,,,True,,,,
193 Playstead Rd,599000,3,1.5,"1,820",$329 / Sq. Ft.,Single Family Detached,Middlesex,Medford,1929,,,True,,,,
28 Park Ave,799000,3,2.5,"2,060",$388 / Sq. Ft.,Single Family Detached,Middlesex,Upper Highland,2017,,,True,,,,
7 Wyman St,849500,5,2,"3,360",$253 / Sq. Ft.,2 Family,Middlesex,Medford,1890,True,,True,,,,
42 Linden,1,—,—,—,Sq. Ft.,Commercial,Middlesex,Medford,,,,,,,,
10 Pond Cir,469000,2,1,"1,200",$391 / Sq. Ft.,Single Family,Middlesex,Medford,1964,,,,,,,
37 Pierrepont Rd,945000,3,2.5,"2,249",$420 / Sq. Ft.,Single Family Detached,Middlesex,East Hill,1939,,,True,,,,
14 Holton St #5,379900,3,1,"1,040",$365 / Sq. Ft.,Condominium,Middlesex,West Medford,1910,,,,,,,
173 Brooks St,575000,3,2.5,"1,925",$299 / Sq. Ft.,Single Family Detached,Middlesex,West Medford,1950,True,,True,,True,,
22 Devereaux St,899000,4,1.5,"2,048",$439 / Sq. Ft.,Single Family Detached,Middlesex,Arlington,1920,,,True,,,,
194 Pleasant St,975000,5,1.5,"2,233",$437 / Sq. Ft.,Single Family Detached,Middlesex,Arlington,1919,True,,True,,,,
39 Ledyard Rd,788000,4,2,"2,117",$372 / Sq. Ft.,Single Family Detached,Middlesex,Winchester,1950,,,True,,,,
